genSrc,metro,city,cnt,capacity,areaCnt,areaCapacity,year
태양광,대전,유성구,1,197.26,5,218.18,2008
태양광,부산,강서구,2,15.0,8,82.28,2008
태양광,부산,금정구,1,11.9,8,82.28,2008
태양광,부산,기장군,1,13.8,8,82.28,2008
태양광,부산,동래구,2,31.3,8,82.28,2008
태양광,부산,사하구,1,5.0,8,82.28,2008
태양광,부산,중구,1,5.28,8,82.28,2008
태양광,서울,강남구,1,30.0,8,210.95,2008
태양광,서울,강동구,1,17.0,8,210.95,2008
태양광,서울,강서구,2,7.95,8,210.95,2008
태양광,서울,송파구,1,147.0,8,210.95,2008
태양광,서울,용산구,1,3.0,8,210.95,2008
태양광,서울,종로구,2,6.0,8,210.95,2008
태양광,울산,남구,3,31.48,7,300.48,2008
태양광,울산,울주군,4,269.0,7,300.48,2008
태양광,인천,강화군,5,120.44,9,350.48,2008
태양광,인천,남구,2,33.44,9,350.48,2008
태양광,인천,서구,1,193.6,9,350.48,2008
태양광,인천,옹진군,1,3.0,9,350.48,2008
태양광,전남,강진군,1,200.0,168,14491.34,2008
태양광,전남,고흥군,18,1962.04,168,14491.34,2008
태양광,전남,광양시,8,741.27,168,14491.34,2008
태양광,전남,나주시,11,840.41,168,14491.34,2008
태양광,전남,담양군,9,301.23,168,14491.34,2008
태양광,전남,목포시,3,104.0,168,14491.34,2008
태양광,전남,무안군,2,196.36,168,14491.34,2008
태양광,전남,보성군,15,1368.47,168,14491.34,2008
태양광,전남,순천시,9,2085.08,168,14491.34,2008
태양광,전남,영광군,16,1299.77,168,14491.34,2008
태양광,전남,영암군,41,3170.94,168,14491.34,2008
태양광,전남,장성군,8,504.74,168,14491.34,2008
태양광,전남,장흥군,2,198.0,168,14491.34,2008
태양광,전남,함평군,5,254.88,168,14491.34,2008
태양광,전남,해남군,19,1165.15,168,14491.34,2008
태양광,전남,화순군,1,99.0,168,14491.34,2008
태양광,전북,고창군,18,2056.0,110,8196.04,2008
태양광,전북,김제시,24,1676.99,110,8196.04,2008
태양광,전북,남원시,6,692.88,110,8196.04,2008
태양광,전북,무주군,3,96.0,110,8196.04,2008
태양광,전북,부안군,15,921.0,110,8196.04,2008
태양광,전북,순창군,1,3.0,110,8196.04,2008
태양광,전북,완주군,2,6.0,110,8196.04,2008
태양광,전북,익산시,7,643.4,110,8196.04,2008
태양광,전북,임실군,7,353.3,110,8196.04,2008
태양광,전북,전주시,6,209.2,110,8196.04,2008
태양광,전북,정읍시,20,1532.44,110,8196.04,2008
태양광,전북,진안군,1,5.83,110,8196.04,2008
태양광,제주,서귀포시,3,380.94,14,1094.61,2008
태양광,제주,제주시,11,713.67,14,1094.61,2008
태양광,충남,계룡시,2,34.92,57,2382.78,2008
태양광,충남,공주시,5,302.83,57,2382.78,2008
태양광,충남,논산시,16,449.04,57,2382.78,2008
태양광,충남,당진시,3,87.92,57,2382.78,2008
태양광,충남,서산시,3,311.0,57,2382.78,2008
태양광,충남,서천군,2,58.0,57,2382.78,2008
태양광,충남,아산시,5,107.99,57,2382.78,2008
태양광,충남,연기군,5,250.25,57,2382.78,2008
태양광,충남,예산군,10,620.07,57,2382.78,2008
태양광,충남,천안시,2,25.0,57,2382.78,2008
태양광,충남,태안군,3,130.76,57,2382.78,2008
