year,metro,city,genSrc,capacity,cnt,all,0,1,2,3,4,5,6,7,8,9,10,면적,필지,h_m
2014.0,강원,고성군,태양광,8077.96,40.0,30269.0,1630.0,2680.0,4806.0,2697.0,4048.0,5483.0,3899.0,3531.0,1268.0,215.0,12.0,661099299.8000001,99483,0.045785860020056246
2015.0,강원,고성군,태양광,9347.56,53.0,30060.0,1579.0,2552.0,4594.0,2654.0,3963.0,5416.0,4116.0,3601.0,1334.0,237.0,14.0,661099299.8000001,99483,0.045469719918163495
2016.0,강원,고성군,태양광,15170.16,77.0,30114.0,1533.0,2453.0,4469.0,2554.0,3930.0,5500.0,4285.0,3676.0,1427.0,277.0,10.0,661099299.8000001,99483,0.045551402049753005
2017.0,강원,고성군,태양광,22305.0,100.0,30029.0,1492.0,2324.0,4372.0,2529.0,3865.0,5480.0,4469.0,3662.0,1522.0,301.0,13.0,661099299.8000001,99483,0.04542282832410285
2018.0,강원,고성군,소수력,180.0,1.0,28144.0,1345.0,1985.0,3625.0,2359.0,3398.0,5241.0,4627.0,3632.0,1600.0,319.0,13.0,661099299.8000001,99483,0.042571516878802174
2018.0,강원,고성군,태양광,43228.74,186.0,28144.0,1345.0,1985.0,3625.0,2359.0,3398.0,5241.0,4627.0,3632.0,1600.0,319.0,13.0,661099299.8000001,99483,0.042571516878802174
2019.0,강원,고성군,소수력,180.0,1.0,27260.0,1348.0,1772.0,3169.0,2262.0,3198.0,4997.0,4856.0,3603.0,1715.0,325.0,15.0,661099299.8000001,99483,0.04123435013204048
2019.0,강원,고성군,태양광,66223.56,263.0,27260.0,1348.0,1772.0,3169.0,2262.0,3198.0,4997.0,4856.0,3603.0,1715.0,325.0,15.0,661099299.8000001,99483,0.04123435013204048
2020.0,강원,고성군,소수력,180.0,1.0,26757.0,1273.0,1621.0,2868.0,2219.0,3063.0,4822.0,5193.0,3499.0,1843.0,339.0,17.0,661099299.8000001,99483,0.04047349620260481
2020.0,강원,고성군,태양광,78213.0,354.0,26757.0,1273.0,1621.0,2868.0,2219.0,3063.0,4822.0,5193.0,3499.0,1843.0,339.0,17.0,661099299.8000001,99483,0.04047349620260481
