year,metro,genSrc,capacity,cnt,all,0,1,2,3,4,5,6,7,8,9,10
2013,전북,풍력,98.0,1,86460,6836,10412,8428,9230,13116,13553,10207,10132,3948,574,24
2013,제주,바이오,99.0,1,438165,47091,62003,51624,65087,79032,62930,34289,24478,9342,2160,129
2013,제주,소수력,400.0,1,438165,47091,62003,51624,65087,79032,62930,34289,24478,9342,2160,129
2013,제주,태양광,5946.639999999999,42,593806,60666,81195,68351,84793,105341,87872,50547,37660,13992,3199,190
2013,제주,풍력,99.4,1,438165,47091,62003,51624,65087,79032,62930,34289,24478,9342,2160,129
2013,충남,바이오,60.0,1,32155,1831,2896,2954,2790,4042,5557,4555,5223,2079,215,13
2013,충남,소수력,1470.0,4,603060,59909,68650,68659,91715,94165,89427,57669,51136,19035,2524,171
2013,충남,태양광,29968.83,322,2047631,196979,244451,240680,306780,331271,305002,187634,163655,62325,8275,579
2013,충북,바이오,750.0,1,672904,69204,95623,94414,108371,121034,98016,45267,29609,9899,1388,79
2013,충북,태양광,24265.06,367,1386559,125243,176699,171795,196972,235903,220693,121608,98767,34055,4517,307
2013,충북,폐기물,1260.0,2,301620,24945,36335,34204,40032,51416,50871,28956,25107,8559,1112,83
2014,강원,소수력,1863.0,5,360991,27766,40795,43593,43622,56619,62965,39836,32491,11318,1843,143
2014,강원,태양광,45312.15,386,1505017,122002,175579,178151,189866,246887,259945,155208,125624,44440,6795,520
2014,강원,폐기물,1378.0,3,130690,10568,15394,13486,16499,22259,23484,14615,10360,3472,493,60
2014,강원,풍력,80.0,1,215807,16316,25907,24835,26705,35816,37313,23691,17745,6353,1060,66
2014,경기,소수력,45.0,1,186820,16711,23672,25109,27959,35854,30820,14481,8915,2837,409,53
2014,경기,태양광,44128.99,734,12060624,1217867,1497895,1571133,1949228,2249771,1846202,910469,581457,204517,29414,2671
2014,경남,바이오,1170.0,3,632617,62174,79602,76441,93501,113247,99607,56127,37011,13255,1542,110
2014,경남,태양광,95855.37,679,3350257,316462,402689,391686,486893,585426,542595,309526,218473,86183,9768,556
2014,경남,폐기물,533.0,2,1138305,104213,140457,148745,169508,201645,192913,99647,57692,20899,2427,159
2014,경북,소수력,879.0,3,247695,16449,24500,23079,24419,35428,44428,33352,31279,12822,1818,121
2014,경북,연료전지,300.0,1,519368,46242,61408,62128,72906,89402,93663,52686,29208,10287,1370,68
2014,경북,태양광,124049.99,892,2690530,222145,290461,311706,354991,432363,449511,290940,234193,91830,11703,687
2014,경북,폐기물,170.0,1,44981,2417,3361,4438,4225,6131,8939,6872,5740,2530,306,22
2014,광주,바이오,20.0,1,397281,51597,62765,48139,68982,77411,46870,21491,14116,5165,697,48
2014,광주,태양광,27765.53,244,1475884,145156,207671,197540,227820,260090,212836,119644,74942,26232,3653,300
2014,대구,태양광,7886.1,82,2203682,190930,280340,284952,313266,399040,361898,199962,126167,42015,4762,350
2014,대전,매립지가스(LFG),99.0,1,201558,17481,26376,27509,28887,36840,33617,16807,10168,3409,437,27
2014,대전,태양광,2271.9,57,1531809,148662,196196,210031,237696,271600,237648,124378,74926,26713,3699,260
2014,부산,소수력,55.0,1,249856,16170,26071,35594,32550,39513,46913,29625,17007,5570,681,162
2014,부산,태양광,14223.66,113,3401286,257393,355951,442511,490077,558499,608539,385308,224377,69052,8271,1308
2014,서울,소수력,300.0,1,407470,32025,36782,64319,74178,64452,61709,40656,24395,7529,1216,209
2014,서울,태양광,9326.61,161,10103233,793992,1044513,1457951,1713666,1729469,1604160,980220,568848,177339,28404,4671
2014,세종,태양광,3688.0,30,312250,39048,34310,35064,55296,53514,41562,24738,19376,8162,1112,68
2014,울산,태양광,4561.2,47,1166377,114860,148060,156137,182664,216238,196210,90542,44785,14847,1906,128
2014,인천,태양광,7925.1,86,2109622,200447,248718,289047,339131,381228,349100,164616,96554,35156,5226,399
2014,전남,바이오,694.0,2,324365,28361,44114,40133,40277,55438,51394,29807,23615,9712,1440,74
2014,전남,태양광,238699.43,2128,1905780,157224,220929,204149,228077,296355,304092,214646,192592,76455,10560,701
2014,전남,폐기물,290.0,1,47177,2787,4004,4763,4547,6470,8319,6623,6579,2618,442,25
2014,전남,해양에너지,110.0,1,32746,2181,3012,2766,2982,4245,5370,4701,5266,1969,242,12
2014,전북,바이오,500.0,3,267381,18070,28040,26199,26562,38428,43752,34758,34468,15003,1939,162
2014,전북,소수력,159.0,2,90458,5602,8797,8445,8123,12081,14731,12552,13832,5479,769,47
2014,전북,태양광,346908.19,3874,1871560,161307,228459,217542,239288,303136,293042,198061,157179,64428,8515,603
2014,전북,풍력,98.0,1,85643,6552,9960,8303,8677,13158,13554,10629,9827,4361,600,22
2014,제주,바이오,99.0,1,448834,48038,60606,53746,65335,81089,66079,36063,25142,10445,2152,139
2014,제주,태양광,4100.4800000000005,41,607346,61663,79202,70883,84968,107887,92145,53120,38415,15722,3140,201
2014,제주,풍력,99.4,1,448834,48038,60606,53746,65335,81089,66079,36063,25142,10445,2152,139
2014,충남,바이오,60.0,1,32248,1789,2840,2855,2706,3971,5668,4703,5103,2364,235,14
2014,충남,소수력,1470.0,4,607978,60003,67037,68259,90261,95335,91630,60538,51170,20933,2623,189
2014,충남,태양광,70213.06,746,2062273,196099,237378,242365,300806,333778,313612,196659,163686,68455,8814,621
2014,충북,바이오,750.0,1,831521,85657,107890,113736,132446,146228,123758,62181,41818,15602,2077,128
2014,충북,태양광,46459.06,701,1578933,142815,188890,194013,220756,265726,255182,146731,115403,43469,5548,400
2014,충북,폐기물,1260.0,2,303851,24897,35120,34366,39090,51619,52403,30300,25378,9430,1149,99
2015,강원,바이오,800.0,1,277997,24022,32909,34843,36823,46563,45878,26867,20751,8003,1244,94
2015,강원,소수력,1863.0,5,360715,27124,38467,44965,41821,55997,62761,42263,32934,12270,1960,153
2015,강원,태양광,68253.70999999999,626,1510310,120836,167784,181304,185361,244616,261566,165771,127195,47973,7330,574
2015,강원,폐기물,1378.0,3,129493,10318,14568,13371,15842,21849,23242,15444,10554,3694,543,68
2015,강원,풍력,179.0,2,284896,20846,31150,32110,32842,45732,50883,34271,25554,9840,1558,110
2015,경기,바이오,250.0,1,204935,21471,24923,25640,31398,34840,31821,17604,11696,4840,665,37
2015,경기,소수력,45.0,1,186721,16400,22421,25538,27046,35151,31512,15860,9197,3105,431,60
2015,경기,태양광,70543.01,1091,12411573,1242048,1467940,1632567,1955283,2285347,1942582,1014649,606834,229095,32261,2967
2015,경남,바이오,1170.0,3,645717,64214,76707,79155,93340,114211,102550,61640,37575,14446,1772,107
2015,경남,태양광,131352.05,988,3364702,317867,384287,394794,476814,580967,551878,337382,216802,92498,10817,596
2015,경남,폐기물,533.0,2,1133296,103527,131879,148378,165249,196988,194832,109527,57665,22462,2622,167
2015,경남,풍력,20.0,1,63817,3841,5449,5930,6269,8521,11774,9539,8324,3832,320,18
2015,경북,소수력,1349.0,5,321701,21253,30781,29616,30892,44998,57525,46623,39493,17820,2538,162
2015,경북,연료전지,300.0,1,519584,46491,58228,62119,71343,87634,93624,57931,29643,11020,1467,84
2015,경북,태양광,207558.84,1531,2692673,222852,276645,310287,346423,426954,454614,313290,228779,99511,12590,728
2015,경북,폐기물,330.0,2,167858,15668,16641,20254,25129,27202,26223,17227,12888,5854,714,58
2015,광주,바이오,20.0,1,400753,50697,61105,49977,66762,78243,50081,23155,14328,5583,774,48
2015,광주,태양광,40527.56,343,1472199,143700,197005,198686,221036,258049,217366,127348,76489,28346,3860,314
2015,대구,태양광,8021.01,106,2406901,202440,283399,315916,330288,426466,406677,243369,141598,50632,5653,463
2015,대전,매립지가스(LFG),99.0,1,196839,16500,24323,27172,26953,35480,33807,18173,10236,3743,425,27
2015,대전,태양광,2871.45,72,1518775,145049,184964,210749,228720,267008,238664,134281,76136,29005,3918,281
2015,부산,소수력,55.0,1,246026,15886,23995,35524,30959,38176,45462,31827,17273,5998,760,166
2015,부산,태양광,17100.31,136,3513777,267227,345503,456514,493958,568218,619703,432899,239641,79128,9497,1489
2015,서울,소수력,400.0,3,989715,81725,90492,147054,178063,158990,153940,103143,54136,18861,2895,416
2015,서울,태양광,11170.51,212,10022181,783299,985790,1447221,1668253,1701609,1588333,1037752,582367,192801,29719,5037
2015,세종,태양광,6366.92,70,421768,59650,46796,46086,80050,74740,51744,31228,20702,9436,1268,68
2015,울산,태양광,8739.67,85,1173534,116241,139958,158615,180833,211988,201390,100468,45817,16011,2074,139
2015,인천,태양광,10804.89,125,2129299,201357,237064,292787,335962,376900,359291,182005,99188,38679,5609,457
2015,전남,바이오,640.0,1,47009,2753,3743,4780,4396,6301,8349,6865,6479,2866,452,25
2015,전남,소수력,80.0,2,100023,6527,8313,9195,9767,13149,17177,14644,14423,5934,849,45
2015,전남,태양광,425333.62,3722,1908996,158142,209957,206551,224820,291730,308904,224235,190822,82190,10892,753
2015,전남,폐기물,290.0,1,47009,2753,3743,4780,4396,6301,8349,6865,6479,2866,452,25
2015,전남,해양에너지,110.0,1,32476,2150,2878,2691,2865,4110,5430,4693,5281,2113,254,11
2015,전북,바이오,650.0,4,264744,17608,26477,25837,25392,37327,43662,36466,33346,16474,1986,169
2015,전북,소수력,159.0,2,90294,5483,8512,8460,7979,11835,14742,13058,13344,6032,795,54
2015,전북,태양광,518972.41000000003,5376,1869711,159824,217813,218698,232517,299535,295583,210933,155007,70437,8725,639
2015,전북,폐기물,160.0,1,652282,61084,87530,88380,90642,113461,98650,60845,35554,14229,1790,117
2015,전북,풍력,98.0,1,84856,6329,9502,8172,8224,12827,13641,11197,9557,4757,621,29
2015,제주,바이오,99.0,1,459876,48824,59113,55735,65756,82734,68743,39543,25775,11400,2111,142
2015,제주,태양광,4321.21,43,624395,63183,77313,73565,85811,110642,96129,57880,39258,17326,3075,213
2015,제주,풍력,99.4,1,459876,48824,59113,55735,65756,82734,68743,39543,25775,11400,2111,142
2015,충남,바이오,60.0,1,32485,1762,2716,2900,2652,3938,5715,5017,4888,2619,260,18
2015,충남,소수력,1470.0,4,610207,60034,65048,67483,88375,95553,92378,65350,50124,22858,2788,216
2015,충남,태양광,179617.88,1737,2077649,197236,229214,244233,296909,333108,318857,212781,160439,74759,9433,680
2015,충북,바이오,750.0,1,831912,85045,102445,115409,129357,144511,126462,67388,41839,17083,2226,147
2015,충북,태양광,84872.73,1110,1583952,142319,179628,196456,216258,262133,260270,158194,114586,47691,5977,440
2015,충북,폐기물,1260.0,2,304309,24696,33110,34625,38105,50678,53493,32705,25208,10321,1264,104
2016,강원,바이오,1780.0,2,618686,54823,71267,78352,83162,105255,103716,59863,41841,17692,2531,184
2016,강원,소수력,1863.0,5,358199,26398,36544,43894,40320,54655,62892,44716,33291,13260,2064,165
2016,강원,태양광,113301.35,993,1550806,121381,163401,184869,185407,246372,271727,182332,132782,53788,8091,656
2016,강원,폐기물,1378.0,3,128863,10038,13765,13473,15211,21328,23308,16282,10758,4031,597,72
2016,강원,풍력,179.0,2,283922,20359,29563,31860,31682,44819,51007,36382,25837,10634,1661,118
2016,경기,바이오,250.0,1,210359,22030,24616,26759,31818,35350,32875,18959,11943,5246,719,44
2016,경기,소수력,45.0,1,193763,16971,21799,26815,27858,35405,33554,17556,9850,3404,490,61
